user_id,orders,products,unique_products,reorder_rate,mean_cart_position
13,1,5,5,0.6,3.0
23,1,9,9,0.0,5.0
27,1,13,13,0.46153846153846156,7.0
36,1,3,3,0.3333333333333333,2.0
42,1,6,6,0.16666666666666666,3.5
66,1,5,5,0.2,3.0
75,1,11,11,0.6363636363636364,6.0
90,1,12,12,0.8333333333333334,6.5
118,1,7,7,0.5714285714285714,4.0
137,1,12,12,1.0,6.5
150,2,25,25,0.56,7.0
155,1,12,12,0.9166666666666666,6.5
173,1,1,1,0.0,1.0
206,1,5,5,0.6,3.0
208,1,5,5,0.8,3.0
210,1,23,23,0.5652173913043478,12.0
214,1,24,24,0.75,12.5
218,1,1,1,0.0,1.0
222,1,5,5,0.8,3.0
226,1,12,12,0.6666666666666666,6.5
233,1,16,16,0.875,8.5
236,1,19,19,0.6842105263157895,10.0
248,1,5,5,0.6,3.0
323,1,10,10,1.0,5.5
334,1,6,6,0.8333333333333334,3.5
355,1,7,7,1.0,4.0
370,1,11,11,0.36363636363636365,6.0
378,1,3,3,0.0,2.0
381,1,13,13,0.3076923076923077,7.0
382,1,4,4,1.0,2.5
396,1,19,19,0.2631578947368421,10.0
417,1,4,4,0.75,2.5
422,1,15,15,0.8666666666666667,8.0
423,1,1,1,1.0,1.0
440,1,3,3,0.6666666666666666,2.0
451,1,7,7,1.0,4.0
453,1,8,8,0.625,4.5
481,1,16,16,1.0,8.5
496,1,5,5,0.2,3.0
503,1,9,9,0.3333333333333333,5.0
508,1,1,1,1.0,1.0
521,1,7,7,0.7142857142857143,4.0
529,1,14,14,0.0,7.5
568,1,15,15,0.4666666666666667,8.0
583,1,27,27,0.7407407407407407,14.0
585,1,5,5,0.0,3.0
593,1,2,2,1.0,1.5
635,1,5,5,0.6,3.0
649,1,16,16,0.9375,8.5
650,1,13,13,0.8461538461538461,7.0
652,1,4,4,0.5,2.5
653,1,6,6,1.0,3.5
655,1,13,13,0.6923076923076923,7.0
667,1,1,1,1.0,1.0
678,1,17,17,0.8823529411764706,9.0
688,1,6,6,1.0,3.5
756,2,18,18,0.7777777777777778,5.888888888888889
773,1,9,9,0.2222222222222222,5.0
787,2,10,7,0.9,3.0
800,1,3,3,0.6666666666666666,2.0
818,1,4,4,0.75,2.5
824,1,3,3,1.0,2.0
854,1,12,12,0.16666666666666666,6.5
857,1,15,15,1.0,8.0
868,1,5,5,0.4,3.0
892,1,13,13,0.3076923076923077,7.0
911,1,13,13,0.8461538461538461,7.0
917,1,18,18,0.9444444444444444,9.5
920,1,5,5,1.0,3.0
933,1,5,5,1.0,3.0
938,1,1,1,1.0,1.0
961,1,7,7,1.0,4.0
963,1,8,8,0.875,4.5
964,1,7,7,0.8571428571428571,4.0
967,1,12,12,0.08333333333333333,6.5
971,1,2,2,0.5,1.5
978,1,28,28,0.32142857142857145,14.5
999,1,25,25,0.64,13.0
1000,1,15,15,0.7333333333333333,8.0
1044,1,5,5,0.6,3.0
1050,1,2,2,1.0,1.5
1059,1,29,29,0.9310344827586207,15.0
1072,1,13,13,0.38461538461538464,7.0
1082,1,4,4,0.5,2.5
1095,1,15,15,0.4666666666666667,8.0
1103,1,3,3,0.6666666666666666,2.0
1105,1,13,13,0.3076923076923077,7.0
1120,1,13,13,0.8461538461538461,7.0
1122,1,17,17,0.5882352941176471,9.0
1139,1,20,20,0.45,10.5
1156,1,22,22,0.0,11.5
1164,2,15,15,0.7333333333333333,4.666666666666667
1177,1,6,6,0.6666666666666666,3.5
1191,1,5,5,0.6,3.0
1202,1,6,6,1.0,3.5
1203,1,7,7,0.7142857142857143,4.0
1223,1,13,13,0.7692307692307693,7.0
1225,1,16,16,0.375,8.5
1235,2,15,14,0.26666666666666666,4.266666666666667
1237,1,25,25,0.8,13.0
1240,1,12,12,0.9166666666666666,6.5
1241,1,8,8,0.5,4.5
1242,1,2,2,0.0,1.5
1246,1,8,8,0.625,4.5
1263,1,5,5,0.0,3.0
1264,1,11,11,0.9090909090909091,6.0
1271,1,21,21,0.38095238095238093,11.0
1274,1,7,7,0.8571428571428571,4.0
1302,1,20,20,0.05,10.5
1344,1,3,3,0.6666666666666666,2.0
1368,1,3,3,0.6666666666666666,2.0
1372,1,33,33,0.42424242424242425,17.0
1373,1,2,2,0.5,1.5
1378,1,28,28,0.5357142857142857,14.5
1381,1,24,24,0.5833333333333334,12.5
1387,1,3,3,0.6666666666666666,2.0
1402,1,2,2,0.5,1.5
1417,1,1,1,0.0,1.0
1423,1,32,32,0.875,16.5
1427,1,2,2,0.0,1.5
1440,1,16,16,0.375,8.5
1487,2,9,9,0.1111111111111111,2.7777777777777777
